source,target,value,time
GENEBRA,CORALSAND S.A.,1,2025
GENEBRA,TERMINAL INVESTMENT LIMITED SARL,1,2025
GENEBRA,LO HOLDING SA,1,2025
GENEBRA,INTER-CONTINENTAL DE CAFE (INTERNATIONAL) SA,1,2025
GENEBRA,THE GROWING TRUST,1,2025
GENEBRA,VMOBILITY SARL,1,2025
GENEBRA,ROLEX HOLDING SA,1,2025
GENEBRA,IMAGINE CAPITAL AG,1,2025
GENEBRA,BIB - BUREAU INTERNATIONAL DE BUSINESS SARL,1,2025
GENEBRA,VIP GREEN MOBILITY SARL,1,2025
GENEBRA,SWITZERLART SA,1,2025
GENEBRA,CL INTERNATIONAL SA,1,2025
GENEBRA,FORM STUDIO SARL,1,2025
GENEBRA,TAM LINHAS AEREAS S/A.,1,2025
GENEBRA,CDR CAPITAL GROUP S.A,1,2025
GENEBRA,STMICROELECTRONICS S.A.,1,2025
GENEBRA,XCALIBUR MPH SWITZERLAND S.A.,1,2025
GENEBRA,SLAV BUSINESS & LAW CONSULTING SARL,1,2025
GENEBRA,SAFE DEMO S.A.,1,2025
GENEBRA,TRANSAMINE SA,1,2025
GENEBRA,SIERENTZ & CIE SARL,1,2025
GENEBRA,BANQUE INTERNATIONALE DE COMMERCE - BRED (SUISSE) SA,1,2025
GENEBRA,EXPLORA SA,1,2025
GENEBRA,TRB CHEMEDICA INTERNATIONAL S/A,1,2025
GENEBRA,REPRESENTACAO JUNTO A CONFERENCIA DO DESARMAMENTO EM GENEBRA,1,2025
GENEBRA,PHOEBUS FINANCE SA,1,2025
GENEBRA,STMICROELECTRONICS INTERNATIONAL N.V>,1,2025
GENEBRA,ECOSECURITIES HOLDINGS SA,1,2025
GENEBRA,CA INDOSUEZ (SWITZERLAND) SA,1,2025
GENEBRA,ACTATRADE SA,1,2025
GENEBRA,BELCORP SA,1,2025
GENEBRA,INTERNATIONAL FRAGRANCE ASSOCIATION (IFRA),1,2025
GENEBRA,TEREOS COMMODITIES SUISSE S.A.,1,2025
GENEBRA,ALLIANCE INVESTMENT GROUP SA,1,2025
GENEBRA,VECTOR BUSINESS SERVICES HOLDINGS SA,1,2025
GENEBRA,CFB PARTNERS SA,1,2025
GENEBRA,ZARK SA,1,2025
GENEBRA,ALLIANCE OF BUSINESS LAWYERS,1,2025
GENEBRA,BTG PACTUAL COMMODITIES (CH) SA,1,2025
GENEBRA,PAPON SA,1,2025
GENEBRA,MASSIMO ZANETTI BEVERAGE S/A,1,2025
GENEBRA,FONDATION CARPE VITAM INTERNATIONAL,1,2025
GENEBRA,BEAUFORD HOLDING SA EM LIQUIDACAO,1,2025
GENEBRA,ALCOTRA S/A,1,2025
GENEBRA,COFIROASTERS S/A,1,2025
GENEBRA,SWISS ART HANDLING SA,1,2025
GENEBRA,MSC MEDITERRANEAN SHIPPING COMPANY SA,1,2025
GENEBRA,USICAFE SA,1,2025
DAVOS,PARFINREC S.A.,1,2025
HUNENBERG,AMY SA,1,2025
HUNENBERG,BURKERT SCHWEIZ AG,1,2025
HUNENBERG,3D SHOP GMBH,1,2025
HUNENBERG,EJA AG,1,2025
HUNENBERG,THE SOLARWISE OWN THE SUN AG,1,2025
ZURIQUE,MATCH SERVICES AG,1,2025
